course_id,course_title,term,credits,prerequisites,corequisites
ACIT1420,Introduction to System Admin,1,4,,
ACIT1515,Scripting for IT,1,4,,
ACIT1620,Fundamental Web Technologies,1,4,,
ACIT1630,Database Systems,1,4,,
COMM1116,Business Communications 1,1,4,,
MATH1310,Technical Math for IT,1,4,,
ORGB1100,Organizational Behaviour,1,3,,
ACIT2811,UX/UI Development,1.5,3,ACIT1620,
ACIT2911,Agile Development Project,1.5,4,ACIT1620;ACIT1630;ORGB1100,
ACIT4770,Legal and Ethical Issues in IT,1.5,2,,
ACIT2420,Linux System Administration,2,4,ACIT1420,
ACIT2515,Object Oriented Programming,2,4,ACIT1515,
ACIT2520,Developing Web Applications,2,4,ACIT1515;ACIT1620,
ACIT2620,Principles of Enterprise Networking,2,4,ACIT1420;MATH1310,
ACIT2831,Business Systems Analysis,2,4,ORGB1100,
COMM2216,Business Communications 2,2,4,COMM1116,
MATH1350,Statistics for IT,2,4,,
ACIT3420,Windows Server Administration,3,4,ACIT2420;ACIT2620,
ACIT3475,Web Server Administration,3,4,ACIT2420;ACIT2520;ACIT2620,
ACIT3640,Cloud Computing,3,4,ACIT2420;ACIT2620,
ACIT3771,IT Service & Project Mgmt,3,4,,ACIT3900
ACIT3896,Applied Algorithms,3,4,ACIT2515;ACIT2831,
ACIT3900,Industry Projects for IT,3,4,ACIT2515;ACIT2520;ACIT2811;ACIT2831;ACIT2911;ACIT4770;COMM2216,
ACIT3910,Database Structure and Mgmt,3,4,ACIT1630,
ACIT3495,Advanced Topics in IT Infrastructure,4,4,ACIT2420;ACIT2620,
ACIT3855,Service Oriented Architectures,4,4,ACIT2515;ACIT2520;ACIT2831,
ACIT4630,Information Assurance and Security,4,4,ACIT3420,
ACIT4640,IT System and Network Provisioning,4,4,ACIT2515;ACIT3420;ACIT3640,
ACIT4850,Enterprise System Integration,4,4,ACIT1630;ACIT2515;ACIT2520,
ACIT4880,Introduction to Data Analytics,4,4,ACIT1630;ACIT2515;MATH1350,
ACIT4900,IT Project Practicum 2,4,4,ACIT3771;ACIT3900,
